"Player","True_Alpha","OLS","Ridge","OLS_Error","Ridge_Error"
"Ralph",2.98396950815538,3.45185510627006,2.08507851725919,0.467885598114682,0.89889099089619
"Buddy",-0.810905441450837,0.36521853478483,-0.139769469273593,1.17612397623567,0.671135972177244
"Shaggy",1.74895550298722,0.835804614297297,-0.156115693610065,0.913150888689923,1.90507119659729
"Bugs",-9.93864482313486,-8.45024299889442,-3.03206389837999,1.48840182424044,6.90658092475487
"Susan",-0.242185171683001,-2.27329817968833,-0.0176219030457415,2.03111300800533,0.22456326863726
"Jarod",0.706159025849267,-0.971558234297789,-0.737640197462933,1.67771726014706,1.4437992233122
"Jordan",-1.85612729491698,-1.84783185870918,-1.90231773036011,0.00829543620780315,0.0461904354431266
"Dash",-8.74376655567186,-11.7045538614435,-5.00808811419569,2.96078730577163,3.73567844147617
"Syndrome",1.05253030096733,-0.116182072430709,-0.0480390777203909,1.16871237339803,1.10056937868772
"Jimbo",3.9412386133403,3.45185510627004,2.10736208081367,0.48938350707026,1.83387653252663
"Wemby",5.27450960220294,3.68326657278624,3.2649580085257,1.5912430294167,2.00955159367724
"Journey",-3.26840059699791,-4.37471993760663,-0.370133708414372,1.10631934060871,2.89826688858354
"Westbrook",-0.484900552602235,0.644835797417478,-1.83814203579968,1.12973635001971,1.35324148319744
"Thomas.The.Train",14.5142308483517,15.8934597275122,5.14101375018367,1.37922887916053,9.37321709816802
"Darryl",0.657983395447065,0.662729300616347,1.73166262355465,0.00474590516928231,1.07367922810758
"Carl",0.0802873530225897,-0.545478356483546,-0.861180506765601,0.625765709506136,0.941467859788191
"Jimmy",6.40075934267792,5.64550246141791,2.13456579501573,0.755256881260018,4.2661935476622
"Sheen",1.72761085602328,3.61841145587699,0.561460948579098,1.89080059985371,1.16614990744418
"Cindy",-3.11444793234496,-3.54003851536151,-3.01202963218512,0.42559058301655,0.102418300159834
"Jimmy.s.mom",-1.2204828240642,-1.57647100239265,-2.53968044382585,0.355988178328452,1.31919761976165
"Mr..Crocker",-4.39460794712941,-4.882538508495,-2.40133241002512,0.487930561365598,1.99327553710429
"Timmy",4.35948321366498,2.79166812449376,0.824738271024242,1.56781508917122,3.53474494264073
"Cosmo",-5.23323090144551,-7.12770618013839,-2.50303021529286,1.89447527869288,2.73020068615265
"Wanda",3.39009229748512,2.79166812449367,0.820023773517895,0.598424172991445,2.57006852396722
"Chip",-6.08781810874893,-6.38563344568315,-1.99199000599904,0.297815336934222,4.09582810274988
"Violet",-2.29111816465277,-3.31843461291844,-2.8144722983475,1.02731644826567,0.523354133694737
"Mr..P",-3.80175438733351,-5.15931713298756,-2.33314432493223,1.35756274565404,1.46861006240128
"Wilson",-2.92114983870549,-2.89836987888102,-2.13081376856818,0.0227799598244722,0.790336070137311
"Shannon",8.04301298034828,7.72387370792629,2.88924405352117,0.319139272421996,5.15376892682711
"Denzel",-3.05398571310965,-2.86403598820364,-2.64067564453583,0.189949724906009,0.413310068573818
"Toby",-3.80510828315959,-4.60463333111333,-1.29251042515399,0.799525047953734,2.5125978580056
"Aric",0.272233050695456,-0.969071123662285,-1.09294364675805,1.24130417435774,1.36517669745351
"Brooke",-3.87540643106312,-5.44254480288717,-1.40418692977525,1.56713837182405,2.47121950128787
"Adalee",10.380501751837,9.41852708866229,3.90028510185622,0.961974663174727,6.48021664998079
"Gideon",0.0686095362383884,-0.413547436692251,0.488604775115062,0.48215697293064,0.419995238876674
"Adrain",3.02669308508838,2.74978097519105,2.25981217276073,0.276912109897329,0.76688091232765
"Tyson",-1.1916744629179,-1.78984251764547,-0.492090050120004,0.598168054727575,0.699584412797893
"DDog",6.6844526684053,7.00540981213083,3.55435433553606,0.320957143725524,3.13009833286925
"Linda",1.08345169078957,1.23555476949017,1.24959298159867,0.152103078700601,0.166141290809104
"Link",4.72387448993012,3.44720894767551,1.79570389466727,1.27666554225461,2.92817059526285
"Ashley",3.83630915556534,3.44720894767549,1.79008633841902,0.389100207889846,2.04622281714632
"Tyler",3.73893251718094,4.00768492553026,1.00557544295626,0.26875240834932,2.73335707422468
"Raj",-5.19951657770431,-2.30188307030974,-0.772338071157573,2.89763350739458,4.42717850654674
"Rush",1.21089068854908,-0.00304635818876539,0.245957978857216,1.21393704673785,0.964932709691865
"Hyrum",2.06516082418213,1.41573441449452,1.62346259634745,0.649426409687613,0.441698227834682
"CalebP",8.43947939488642,8.60724504698165,3.42008520356731,0.167765652095234,5.0193941913191
