Player,True_Alpha
Ralph,-7.208225732554067
Buddy,4.133514871907404
Shaggy,-4.116480346288547
Bugs,-1.2645838635965958
Susan,0.16127114530478498
Jarod,9.083030817777363
Jordan,-5.019248635154426
Dash,4.173748613216511
Syndrome,-5.857522040848089
Jimbo,-6.202967924203672
Wemby,0.14231724209577495
Journey,0.10864745494861382
Westbrook,-14.161591592346268
Thomas The Train,5.797981446877488
Darryl,-10.695570622154255
Carl,-0.7296871805665077
Jimmy,6.638077258026527
Sheen,11.045919833443394
Cindy,-1.8152493184428988
Jimmy's mom,-7.164745418085438
Mr. Crocker,6.45274112883979
Timmy,4.325782750601311
Cosmo,-2.4449614478923762
Wanda,-3.0786872910460317
Chip,-3.5869608182971575
Violet,-1.7229326786731671
Mr. P,1.5803407120081545
Wilson,-2.8300729136838583
Shannon,-2.197901377811202
Denzel,3.2063950970528783
Toby,-7.412070705294363
Aric,-1.8796785995678966
Brooke,-8.379705095495508
Adalee,0.5420623667645066
Gideon,-9.697027040709372
Adrain,4.450050634132149
Tyson,-6.5731869789600275
DDog,-8.862892826807272
Linda,-1.8180664795080883
Link,8.555536458385252
Ashley,3.555962267107878
Tyler,-9.611570527269828
Raj,-6.715626338222705
Rush,-1.978001866228536
Hyrum,11.191765808854308
CalebP,-4.69477073984434
Roland,-4.654426218515972
Handsome Jack,7.637146934400906
Lilith,0.9745360263118787
Arthur Morgan,5.265000136493706
John Marston,-3.6354977008798235
Anthony Edwards,-0.5081792386452635
Lamelo Ball,6.578159310941222
Clap-Trap,-0.7242043836789995
Rudy Gobert,5.615265987632315
Ben,1.9363365021726509
Jansen,-5.198145392094594
Matt,-0.0815860617301141
George Lombard Jr.,4.906919961375166
Ben Rice,3.3470809559344255
Dailey,-0.20126449210414116
Darius Garland,-9.458571944857498
Brook Lopez,-8.97995740704858
Kris Dunn,-7.916527948135581
Rui Hachimura,-2.5522110338327546
Nathan Drake,-1.8855893684672396
Victor Sullivan,-7.377057005470115
Free Sample Costco Employee,5.112563968480081
Bradley Beal,-6.318845386102712
Mystery Girl,-6.852795210335048
Nick,0.4411787694297432
Jared,4.869525599966142
Dylan,10.274273099065834
Master Chief,2.9127252725158863
Sarah,7.899148593618097
Eli,-6.0602832586328095
Mylee,10.798696303304997
Yoshi,-9.307422252777442
Triple Decker,-2.519196269438403
Octane,2.803262597893875
Fennec,-8.026085078479717
Dominus,-4.635250459626668
Mario,-5.429612646448171
Luigi,-1.5511050362486727
Blue Toad,7.10791428336337
Ore Port,0.08412533143905325
Wes,-2.3153197211700878
Pyro,-14.421621835891008
Bobby,2.3337760241928955
Alec,3.9500770448908957
Nate,-8.500098839051057
Narwhal,-0.33486179861260845
Mr. Locksmith,0.9650409516602347
Defender,4.823008786518469
Goalie,-3.62384229122737
Attacker,-4.376801805423986
Centerback,-2.2824864923418087
Right Wing,6.422185263886919
Left Wing,5.21922721086335
Messi,-0.10672651086206841
Nathan,5.0988826359414405
Nathaniel,-11.843456034260793
Big Nate,3.958271030467628
Kareem,-5.593830814069233
Captain Hook,8.835122471979309
Jaxsyn,-5.32122355966612
Demar Defrozen,-4.263810826168223
Zach Lavine,2.812118650655891
Russ,3.294770673905182
Keegan Murray,-2.2316603938359245
Trey Lyles,1.8570201721151534
Mike Brown's shadow,2.4768990766424346
Sabonis,1.9655732802901702
Deaaron Fox,-2.0227745877919796
Shohei Ohtani,2.526055120428452
Freddie Freeman,7.031852025082469
Mookie Betts,-6.127442396094133
Blake Snell,-4.20030017770903
Clayton Kershaw,0.1362781618028968
Andy Pages,-5.281120203340165
Anna,-9.017018671136302
Kelp,5.465614879409783
Brooklyn,-11.143941330131248
Drew,-2.011913487621677
Hay Hay,3.7947215987933536
Ashley Wilson,1.3334989475103618
Evan,-1.936246829894762
Trey,-5.487197882674796
Ethan,1.7193390657396854
Tobias,-4.941972192334364
Joe,1.3296629315913115
Spencer,0.7045882411737818
Thomas,0.7551645452756783
Pink Taki's bag,-3.201593795897078
Elias,10.175045546673946
CalebB,1.791033169351874
Brynn,-1.3935446210982358
Dame Dollar,1.3213528653090219
Deni Avdija,-3.8723082196215506
Donovan Clingan,-1.9315224923895316
Cal Raleigh,11.959599660597586
Julio Rodriguez,-3.836904032211543
Bryan Woo,-0.38886350132208103
Josh Naylor,-2.28052424874883
Logan Gilbert,-5.198169714123898
Whooly,2.105424951099031
Frost,0.18236088327104538
Alley,4.5551365449996375
CJ Bott,4.052889601650024
George Kirby,4.503538595209979
